,Wine Name,Country,Region,Winery,Rating,# Ratings,Price (€),Year,Type
1401,Talò Negroamaro,Italy,Salento,San Marzano,3.8,152,9.89,2018,Red
1402,The Gimblett,New Zealand,Gimblett Gravels,Trinity Hill,3.8,152,31.5,2013,Red
1403,Rocca Guicciarda Chianti Classico Riserva,Italy,Chianti Classico,Ricasoli,3.8,152,16.9,2017,Red
1404,Pinot Noir,New Zealand,Marlborough,Mount Riley,3.7,152,11.6,2018,Red
1405,Mavum Corvina - Cabernet Sauvignon,Italy,Veneto,Maurizio B Martino MBM,3.6,152,7.19,2015,Red
1406,Fantini Collection Red Blend,Italy,Ortona,Farnese,3.8,152,9.39,2016,Red
1407,Villa Romanu Tinto,Portugal,Alentejano,Herdade do Perdigão,3.4,152,6.43,2015,Red
1408,Pannobile,Austria,Burgenland,Heinrich,3.7,152,22.71,2016,Red
1409,Solaz Shiraz - Tempranillo,Spain,Castilla,Osborne,3.6,152,5.81,2018,Red
1410,The Coppermine Road Cabernet Sauvignon,Australia,McLaren Vale,d'Arenberg,3.8,152,47.98,2013,Red
1411,Ars In Vitro,Spain,Navarra,Bodega Tandem,3.5,152,8.49,2012,Red
1412,Fronsac,France,Fronsac,Château Moulin Haut-Laroque,3.8,152,19.45,2007,Red
1413,Legítimo,Portugal,Douro,Conceito,3.7,152,12.9,2016,Red
1414,Altos R Pigeage,Spain,Rioja,Altos de Rioja,4.2,152,33.0,2010,Red
1415,Pinotage,South Africa,Stellenbosch,Laibach,4.0,152,15.26,2016,Red
1416,Spätburgunder,Germany,Baden,Fritz Waßmer,3.7,152,6.0,2015,Red
1417,Lamùri Nero d'Avola Regaleali,Italy,Terre Siciliane,Tasca d'Almerita,3.7,1520,10.45,2017,Red
1418,Cabernet Sauvignon,United States,California,Dark Horse,3.7,1521,7.36,2018,Red
1419,Moulis-en-Médoc,France,Moulis-en-Médoc,Château Chasse-Spleen,4.1,1528,48.95,2005,Red
1420,Grand Terroir Pic Saint Loup Syrah - Grenache - Mourvedre,France,Pic-Saint-Loup,Gérard Bertrand,3.8,153,12.99,2018,Red
1421,Pomerol,France,Pomerol,Château Lafleur-Gazin,4.2,153,45.5,2015,Red
1422,Châteauneuf-du-Pape Boisrenard,France,Châteauneuf-du-Pape,Domaine de Beaurenard,4.4,153,59.0,2016,Red
1423,Ripa della Volta Amarone della Valpolicella,Italy,Amarone della Valpolicella,Ottella,4.3,153,37.9,2015,Red
1424,Moulis-en-Médoc,France,Moulis-en-Médoc,Château Dutruch Grand Poujeaux,3.7,153,17.35,2013,Red
1425,Nero d'Avola Sicilia,Italy,Sicilia,Feudo Arancio,3.6,153,6.25,2018,Red
1426,Cameron Vale Cabernet Sauvignon,Australia,Barossa,Grant Burge,3.6,153,17.45,2016,Red
1427,Pomerol,France,Pomerol,Château Latour à Pomerol,4.1,153,103.42,2014,Red
1428,Valpolicella Ripasso Classico Superiore,Italy,Valpolicella Ripasso,Le Ragose,3.9,153,9.56,2008,Red
1429,Sabbie di Sopra al Bosco,Italy,Terre del Volturno,Nanni Copé,3.9,153,32.14,2013,Red
1430,Merlot - Corvina,Italy,Veneto,Corte Giara,3.4,153,6.45,2016,Red
1431,Sodale Merlot,Italy,Lazio,Falesco,3.8,153,19.39,2016,Red
1432,RS Spätburgunder,Germany,Baden,Salwey,3.6,153,19.95,2014,Red
1433,Seaward Pinotage,South Africa,Coastal Region,Spier,3.7,153,13.55,2017,Red
1434,Pinot Noir,United States,Russian River Valley,MacMurray,3.9,1532,27.32,2016,Red
1435,Cos d'Estournel,France,Saint-Estèphe,Cos d'Estournel,4.4,1534,165.0,2008,Red
1436,Rosso,Italy,Terre Siciliane,Corvo,3.7,1536,6.58,2017,Red
1437,Cos d'Estournel,France,Saint-Estèphe,Cos d'Estournel,4.3,1539,129.0,2007,Red
1438,Shymer Syrah - Merlot,Italy,Terre Siciliane,Baglio di Pianetto,3.8,154,10.63,2015,Red
1439,Médoc,France,Médoc,Château Clos du Moulin,3.7,154,13.8,2015,Red
1440,Cabernet Sauvignon,Argentina,Tupungato,Altosur,3.5,154,8.49,2015,Red
1441,Castillo Ygay Gran Reserva Especial Tinto,Spain,Rioja,Marqués de Murrieta,4.1,154,98.95,2010,Red
1442,Barbera d'Asti La Crena,Italy,Barbera d'Asti,Vietti,4.2,154,36.9,2016,Red
1443,Barolo,Italy,Barolo,Prunotto,4.2,154,39.95,2016,Red
1444,Cabernet Sauvignon,United States,Monterey,Craftwork,3.9,154,14.99,2016,Red
1445,Morandina Valpolicella,Italy,Valpolicella,Prà,3.6,154,14.9,2017,Red
1446,Goulée by Cos d’Estournel,France,Médoc,Cos d'Estournel,3.7,154,39.95,2005,Red
1447,Kai Carmenère,Chile,Aconcagua Valley,Errazuriz,4.3,154,125.74,2015,Red
1448,Saint-Émilion Baron Carl,France,Saint-Émilion,Baron Philippe de Rothschild,4.0,154,25.13,2015,Red
1449,Les Gravières Chinon,France,Chinon,Couly-Dutheil,3.5,154,12.49,2017,Red
1450,Bandol,France,Bandol,Château Pradeaux,3.9,154,26.95,2014,Red
1451,Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,Saint-Émilion Grand Cru,Château Pavie,4.2,154,269.1,2013,Red
1452,Barrancas Vineyards Alta Syrah,Argentina,Mendoza,Pascual Toso,4.3,154,34.54,2014,Red
1453,The Butcher Blaufränkisch,Austria,Burgenland,Schwarz,3.9,154,25.5,2018,Red
1454,Finca Muñoz Limited Release Barrel Aged,Spain,Castilla,Munoz,3.9,154,6.99,2015,Red
1455,Reserva Carmenère,Chile,Colchagua Valley,TerraNoble,3.6,154,9.9,2015,Red
1456,Cabernet Sauvignon,South Africa,Paarl,Plaisir de Merle,4.0,154,14.49,2015,Red
1457,Barolo Castiglione,Italy,Barolo,Vietti,4.1,1541,43.55,2013,Red
1458,Ribera del Duero Red,Spain,Ribera del Duero,Montecastro,4.0,1542,47.77,2014,Red
1459,Big John Cuvée Reserve,Austria,Burgenland,Scheiblhofer,4.2,1546,19.2,2017,Red
1460,Barolo Villero,Italy,Barolo,Giacomo Fenocchio,4.2,155,35.84,2011,Red
1461,6 Meses Roble Tempranillo,Spain,La Mancha,Finca La Estacada,3.6,155,7.36,2018,Red
1462,Garnacha Viñas Viejas,Spain,Valdejalón,Botijo Rojo,3.7,155,12.62,2015,Red
1463,Clos Fontà Priorat,Spain,Priorat,Mas d'en Gil,4.3,155,60.41,2014,Red
1464,Cirerets,Spain,Priorat,Bodegas Mas Alta,4.1,155,38.8,2016,Red
1465,Cèdre Héritage Malbec,France,Cahors,Château du Cèdre,3.6,155,8.4,2016,Red
1466,Saint-Émilion Grand Cru (Grand Cru Classé),France,Saint-Émilion Grand Cru,Château La Couspaude,4.3,155,125.74,2000,Red
1467,Chianti Classico Riserva Il Poggio,Italy,Chianti Classico,Castello di Monsanto,4.0,155,42.63,2013,Red
1468,Valdeorras Mencia Gaba do Xil,Spain,Valdeorras,Telmo Rodriguez,3.4,155,9.95,2017,Red
1469,Vertunno Chianti dei Colli Senesi Riserva,Italy,Chianti Colli Senesi,Panizzi,3.8,155,12.14,2013,Red
1470,Adrianna Vineyard Fortuna Terrae Malbec,Argentina,Mendoza,Catena Zapata,4.5,155,89.9,2015,Red
1471,Emeritvs (Emeritus),Spain,Dominio de Valdepusa,Marqués de Griñon,4.2,155,68.0,2011,Red
1472,Signatures Single Vineyard Collection Malbec,South Africa,Wellington,Doolhof Wine Estate,3.9,155,17.5,2017,Red
1473,Cabernet Sauvignon,Australia,Barossa Valley,Schild Estate,3.9,155,15.9,2016,Red
1474,Lafóa Cabernet Sauvignon,Italy,Südtirol - Alto Adige,Colterenzio (Schreckbichl),4.3,155,58.0,2015,Red
1475,Edición Limitada M,Chile,Colchagua Valley,Caliterra,3.9,155,16.27,2015,Red
1476,Moulis,France,Moulis-en-Médoc,Château Branas Grand Poujeaux,4.1,156,37.9,2012,Red
1477,Portrait Cabernet Sauvignon,Australia,Barossa,Peter Lehmann,3.7,156,9.6,2016,Red
1478,Saint-Amour,France,Saint-Amour,Terres Dorées,3.8,156,18.5,2017,Red
1479,Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Léoville Las Cases,4.6,156,238.83,2015,Red
1480,Single Valley Lot Gran Reserva Carmenère,Chile,Colchagua Valley,Valdivieso,3.8,156,14.57,2018,Red
1481,Saint-Estèphe,France,Saint-Estèphe,Château Le Boscq,3.7,156,28.9,2013,Red
1482,MUAC,Spain,Mallorca,Terra de Falanis,3.6,156,10.95,2015,Red
1483,Cellar Selection Cabernet Sauvignon,South Africa,Stellenbosch,Kleine Zalze,3.3,156,10.95,2018,Red
1484,Vürsù Barolo Campè,Italy,Barolo,La Spinetta,4.3,156,97.38,2010,Red
1485,Dedicato a Walter Bolgheri Superiore,Italy,Bolgheri Superiore,Poggio Al Tesoro,4.5,156,89.0,2015,Red
1486,Benchmark Cabernet Sauvignon,Australia,South Australia,Grant Burge,3.4,156,8.5,2017,Red
1487,Terroir du Trias Bandol Rouge,France,Bandol,Domaine de Terrebrune,4.0,156,32.9,2014,Red
1488,Tributo Syrah,Chile,Colchagua Valley,Caliterra,3.7,156,10.71,2012,Red
1489,Rouge,France,Côtes Catalanes,Domaine de l'Horizon,3.8,156,40.16,2008,Red
1490,Valpolicella Ripasso Superiore,Italy,Valpolicella Ripasso,Casa Vinicola Bennati,3.8,156,14.31,2014,Red
1491,Lalande-de-Pomerol,France,Lalande-de-Pomerol,Château de Bel-Air,3.9,156,28.83,2015,Red
1492,Walking Tree Cabernet Sauvignon,United States,Alexander Valley,Geyser Peak,3.7,156,21.0,2013,Red
1493,Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,Saint-Émilion Grand Cru,Château Cheval Blanc,4.5,156,592.4,2014,Red
1494,Sito Moresco Langhe,Italy,Langhe,Gaja,4.1,1561,41.9,2016,Red
1495,Pinot Noir,New Zealand,South Island,Kim Crawford,3.6,1565,15.9,2015,Red
1496,Rouge (Gaston Hochar),Lebanon,Bekaa Valley,Château Musar,4.2,1566,35.04,2002,Red
1497,Lytton Springs,United States,Dry Creek Valley,Ridge Vineyards,4.2,1568,41.85,2016,Red
1498,Malbec Estate,Argentina,Calchaqui Valley,Colomé,4.0,1568,15.03,2017,Red
1499,Nobile di Montepulciano,Italy,Vino Nobile di Montepulciano,Salcheto,3.9,1569,17.3,2015,Red
1500,Pinot Noir,Germany,Baden,Heitlinger,3.7,157,12.49,2016,Red
1501,Castel Firmian Nerofino,Italy,Trentino,Mezzacorona,3.8,157,6.95,2016,Red
1502,Cartagho,Italy,Terre Siciliane,Mandrarossa,3.7,157,13.47,2017,Red
1503,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château Pindefleurs,4.2,157,30.95,2016,Red
1504,Reserva Cabernet Sauvignon,Chile,Colchagua Valley,Caliterra,3.4,157,6.99,2018,Red
1505,Moulis-en-Médoc,France,Moulis-en-Médoc,Château Dutruch Grand Poujeaux,3.7,157,24.63,2015,Red
1506,Castro Ventosa El Castro de Valtuille,Spain,Bierzo,Raúl Pérez,3.7,157,17.9,2015,Red
1507,Crianza,Spain,Binissalem-Mallorca,Bodegas José L. Ferrer,3.6,157,10.49,2016,Red
1508,Taita Marchigüe Vineyard Cabernet Sauvignon,Chile,Colchagua Valley,Montes,4.6,157,239.0,2011,Red
1509,Villa Gresti,Italy,Vigneti delle Dolomiti,San Leonardo,3.9,157,25.5,2014,Red
1510,Cabernet Sauvignon,South Africa,Franschhoek,Anthonij Rupert,4.3,157,59.95,2012,Red
1511,Médoc,France,Médoc,Château La Cardonne,3.7,157,20.5,2012,Red
1512,Cabernet Sauvignon,South Africa,Stellenbosch,Alto Estate,4.1,157,17.75,2014,Red
1513,Pinot Noir,France,Pays d'Oc,La Chevalière,3.6,157,7.89,2018,Red
1514,Merlot (Carménère - Syrah),Chile,Rapel Valley,Trio,3.7,1570,11.47,2016,Red
1515,6th Sense Syrah,United States,Lodi,Michael David Winery,3.9,1571,14.82,2013,Red
1516,Reserva,Spain,Rioja,Hacienda López de Haro,3.7,1573,12.79,2014,Red
1517,Saint-Estèphe (Grand Cru Classé),France,Saint-Estèphe,Château Montrose,4.2,1574,109.0,2007,Red
1518,Saint-Estèphe (Grand Cru Classé),France,Saint-Estèphe,Château Montrose,4.4,1578,174.95,2005,Red
1519,Director's Cut Zinfandel,United States,Dry Creek Valley,Francis Ford Coppola,4.0,1578,33.25,2014,Red
1520,Gevrey-Chambertin,France,Gevrey-Chambertin,Louis Latour,4.1,158,51.55,2013,Red
1521,Antu Cabernet Sauvignon - Carmenère,Chile,Colchagua Valley,MontGras,4.0,158,11.9,2018,Red
1522,Sassabruna Maremma Toscana,Italy,Maremma Toscana,Rocca di Montemassi,3.8,158,12.5,2017,Red
1523,Saint-Émilion Grand Cru (Grand Cru Classé),France,Saint-Émilion Grand Cru,Château Fonroque,4.0,158,48.95,2016,Red
1524,Series M,South Africa,Paarl,Vilafonté,4.4,158,51.41,2015,Red
1525,Montepulciano d'Abruzzo,Italy,Montepulciano d'Abruzzo,Collefrisio,3.8,158,13.95,2013,Red
1526,Médoc,France,Médoc,Clos Manou,3.9,158,27.9,2015,Red
1527,Selección La Aguilera,Spain,Ribera del Duero,Dominio de Cair,4.1,158,18.99,2015,Red
1528,Freestone-Occidental Pinot Noir,United States,Sonoma Coast,Occidental,4.4,158,69.0,2015,Red
1529,Reserva Carmenère,Chile,Rapel Valley,Santa Rita,3.5,158,9.65,2018,Red
1530,Impossible Red,South Africa,Paarl,Laborie,3.8,158,8.21,2018,Red
1531,Lamaione Toscana,Italy,Toscana,Tenuta CastelGiocondo,4.1,158,57.51,2013,Red
1532,Vendemmia d'Artista La Tensione,Italy,Bolgheri Superiore,Ornellaia,4.5,158,212.49,2016,Red
1533,La Baraja,Spain,Ribera del Duero,Bodegas Vilano,4.6,158,31.5,2016,Red
1534,La Montesa,Spain,Rioja,Palacios Remondo,3.9,158,14.13,2017,Red
1535,Gazur,Spain,Ribera del Duero,Telmo Rodriguez,3.4,158,9.95,2018,Red
1536,Vino Nobile di Montepulciano,Italy,Vino Nobile di Montepulciano,Avignonesi,3.9,1582,19.39,2015,Red
1537,Crianza Ribera del Duero,Spain,Ribera del Duero,Condado de Haza,3.8,1582,14.5,2016,Red
1538,Castello di Brolio Gran Selezione Chianti Classico,Italy,Chianti Classico,Ricasoli,4.1,1588,41.0,2013,Red
1539,Cabernet - Merlot,Australia,Adelaide Hills,Tempus Two,3.6,159,10.41,2017,Red
1540,Rioja Gran Reserva,Spain,Rioja,Castillo Clavijo,3.9,159,17.78,2011,Red
1541,Méthode Ancienne Cabernet Sauvignon,South Africa,Robertson,Springfield Estate,4.2,159,39.95,2013,Red
1542,MXI Selección de Barricas,Spain,Ribera del Duero,Tinto Pesquera,3.9,159,36.0,2016,Red
1543,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château Barrail du Blanc,3.8,159,27.71,2015,Red
1544,Hussonet Cabernet Sauvignon Gran Reserva,Chile,Maipo Valley,Haras de Pirque,3.5,159,15.49,2018,Red
1545,Syrah,South Africa,Franschhoek,Anthonij Rupert,4.1,159,59.95,2013,Red
1546,Côtes du Rhône Rouge,France,Côtes-du-Rhône,Domaine Roche Audran,3.8,159,9.9,2017,Red
1547,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château Trapaud,3.9,159,19.65,2012,Red
1548,Frans K. Smit,South Africa,Stellenbosch,Spier,4.4,159,75.0,2015,Red
1549,Killerman's Run Cabernet Sauvignon,Australia,Clare Valley,Kilikanoon,4.0,159,20.75,2016,Red
1550,Gigondas Les Racines,France,Gigondas,Domaine Les Pallières,4.0,159,34.99,2015,Red
1551,Armentino Negroamaro - Primitivo,Italy,Salento,Schola Sarmenti,4.0,159,11.5,2017,Red
1552,Amarone della Valpolicella,Italy,Amarone della Valpolicella,Zonin,4.1,1590,28.12,2015,Red
1553,Barbaresco,Italy,Barbaresco,Gaja,4.5,1593,149.0,2012,Red
1554,Margaux (Grand Cru Classé),France,Margaux,Château Lascombes,4.3,1595,126.13,2009,Red
1555,Finca Monasterio Rioja,Spain,Rioja,Baron de Ley,4.1,1597,21.39,2016,Red
1556,Susumaniello,Italy,Puglia,Masca del Tacco,4.2,1597,12.95,2018,Red
1557,Douro Fabelhaft Tinto,Portugal,Douro,Niepoort,3.7,1597,9.7,2016,Red
1558,Nicolás Catena Zapata,Argentina,Mendoza,Catena Zapata,4.3,1597,82.86,2013,Red
1559,Lealbere Teroldego Rotaliano,Italy,Teroldego Rotaliano,Zeni,3.7,160,13.53,2016,Red
1560,Côté Sud,France,Côtes Catalanes,Domaine Lafage,3.3,160,7.02,2017,Red
1561,Arunte Negroamaro Salento,Italy,Salento,Cantolio,3.7,160,8.58,2013,Red
1562,Chianti Classico,Italy,Chianti Classico,Monte Guelfo,3.6,160,8.72,2015,Red
1563,Wallace (Shiraz - Grenache),Australia,Barossa Valley,Glaetzer,3.8,160,19.98,2017,Red
1564,Shiraz Red Baron,Australia,Fleurieu,Fox Creek,3.7,160,16.95,2018,Red
1565,Tutti Frutti Rouge,France,Pays d'Oc,Arrogant Frog,3.5,160,5.36,2018,Red
1566,Joven (Selección),Spain,Campo de Borja,Borsao,3.3,160,7.35,2018,Red
1567,Nebbiolo Langhe Capisme-e,Italy,Langhe,Domenico Clerico,3.7,160,18.38,2013,Red
1568,Zinfandel,United States,California,Dancing Bull,3.6,160,9.6,2016,Red
1569,Francs - Côtes de Bordeaux,France,Francs - Côtes de Bordeaux,Château Marsau,3.8,160,18.04,2015,Red
1570,Fronsac,France,Fronsac,Château Moulin Haut-Laroque,3.8,160,22.37,2004,Red
1571,Saint Cosme Côte-Rotie,France,Côte-Rôtie,Château de Saint Cosme,4.1,160,49.95,2013,Red
1572,Barbera d'Asti La Crena,Italy,Barbera d'Asti,Vietti,4.0,160,39.9,2015,Red
1573,Cabernet Sauvignon Private Reserve,Chile,Maule Valley,Aromo,3.5,160,12.19,2015,Red
1574,Saint-Estèphe,France,Saint-Estèphe,Château Haut-Beauséjour,3.9,160,33.76,2016,Red
1575,The Laughing Magpie Shiraz - Viognier,Australia,McLaren Vale,d'Arenberg,3.7,160,21.57,2015,Red
1576,Meshach,Australia,Barossa Valley,Grant Burge,4.3,160,115.61,2012,Red
1577,L'O de la Vie,France,Minervois,Domaine Anne Gros & Jean-Paul Tollot,3.8,160,18.75,2016,Red
1578,Malbec,Argentina,Tupungato,Altosur,3.5,1602,8.49,2016,Red
1579,Haut-Médoc,France,Haut-Médoc,Château Sociando-Mallet,3.9,1607,57.28,2011,Red
1580,Beaujolais-Villages Combe aux Jacques,France,Beaujolais-Villages,Louis Jadot,3.8,1608,10.43,2018,Red
1581,Don Maximiano Founder's Reserve,Chile,Aconcagua Valley,Errazuriz,4.5,1608,67.26,2014,Red
1582,Cos d'Estournel,France,Saint-Estèphe,Cos d'Estournel,4.6,1608,248.95,2005,Red
1583,Cabernet Sauvignon (Cabernet Franc - Syrah),Chile,Rapel Valley,Trio,3.6,1609,9.99,2017,Red
1584,Petite Sirah,United States,California,Bogle,3.8,1609,15.33,2015,Red
1585,Haut-Médoc,France,Haut-Médoc,Château Sociando-Mallet,4.1,1609,41.85,2010,Red
1586,Pessac-Léognan,France,Pessac-Léognan,Château Gazin Rocquencourt,3.9,161,34.15,2014,Red
1587,Gigondas Romane Machotte Rouge,France,Gigondas,Pierre Amadieu,3.9,161,16.47,2017,Red
1588,Nuits-Saint-Georges Aux Perdrix Premier Cru,France,Nuits-Saint-Georges 1er Cru 'Aux Perdrix',Domaine des Perdrix,4.4,161,101.85,2015,Red
1589,Gran Tonel 137 Malbec,Argentina,Mendoza,Bodega Toneles,4.2,161,50.19,2012,Red
1590,Aromes de Pavie Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château Pavie,4.0,161,398.6,2010,Red
1591,Conde de Valdemar Crianza,Spain,Rioja,Bodegas Valdemar,3.7,161,8.39,2016,Red
1592,Estate Red,South Africa,Constantia,Klein Constantia,3.8,161,24.46,2016,Red
1593,Tinto,Spain,Binissalem-Mallorca,Tianna Negre,4.2,161,38.41,2015,Red
1594,Crianza Ribera del Duero,Spain,Ribera del Duero,Condado de Haza,3.9,161,12.9,2017,Red
1595,Dolcetto d'Alba Tre Vigne,Italy,Dolcetto d'Alba,Vietti,3.7,161,14.25,2018,Red
1596,Le Prestige Rouge,France,Pays d'Oc,Les Collines du Bourdic,4.0,161,9.8,2015,Red
1597,Mi Pueblo Cabernet Sauvignon,Chile,Central Valley,Viña Maipo,3.2,161,7.32,2018,Red
1598,Valpolicella Ripasso Superiore,Italy,Valpolicella Ripasso,Zonin,3.7,1610,8.43,2017,Red
1599,Brunello di Montalcino,Italy,Brunello di Montalcino,Altesino,4.2,1610,37.78,2013,Red
1600,Roda Reserva Rioja,Spain,Rioja,Bodegas Roda,4.2,1613,36.89,2015,Red
1601,Blason de L’Evangile Pomerol,France,Pomerol,Château l'Évangile,4.2,162,63.44,2014,Red
1602,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château Fougueyrat,3.9,162,22.67,2015,Red
1603,Pago Negralada Tempranillo,Spain,Castilla y León,Abadia Retuerta,4.4,162,67.26,2013,Red
1604,Montepulciano d'Abruzzo,Italy,Montepulciano d'Abruzzo,Torre dei Beati,3.6,162,9.95,2017,Red
1605,Alicante,Spain,Alicante,El Sequé,4.0,162,24.18,2016,Red
1606,Rosso di Montalcino,Italy,Rosso di Montalcino,Caparzo,3.8,162,10.37,2018,Red
1607,Canonico Negroamaro Salento,Italy,Salento,Cantine due Palme,3.6,162,6.32,2018,Red
1608,Clos du Marquis Saint-Julien,France,Saint-Julien,Château Léoville Las Cases,4.1,162,72.62,2016,Red
1609,Barolo Conca,Italy,Barolo,Mauro Molino,4.3,162,63.27,2014,Red
1610,Awatea Cabernets - Merlot,New Zealand,Hawke's Bay,Te Mata,3.8,162,34.5,2017,Red
1611,Pomerol,France,Pomerol,Château Certan de May,4.1,162,92.61,2011,Red
1612,Reserva,Spain,Navarra,Castillo de Enériz,3.7,162,8.33,2013,Red
1613,Steadfast Shiraz - Cabernet,Australia,Barossa Valley,Langmeil,4.0,162,8.68,2017,Red
1614,Gevrey-Chambertin,France,Gevrey-Chambertin,Domaine Trapet,3.9,162,90.2,2016,Red
1615,Mathilde Saint-Emilion Grand Cru,France,Saint-Émilion Grand Cru,Château La Fleur Morange,3.8,162,39.95,2010,Red
1616,Syrah,Italy,Terre Siciliane,Baglio di Pianetto,3.7,162,8.4,2017,Red
1617,Pauillac (Grand Cru Classé),France,Pauillac,Château Grand-Puy Ducasse,3.8,162,74.3,2016,Red
1618,Francs - Côtes de Bordeaux,France,Francs - Côtes de Bordeaux,Château Puygueraud,3.8,162,24.95,2005,Red
1619,Brolo di Campofiorin Oro,Italy,Rosso Veronese,Masi,3.8,1620,18.79,2013,Red
1620,Reserva,Spain,Rioja,Campo Viejo,3.8,1624,10.99,2015,Red
1621,Pauillac (Grand Cru Classé),France,Pauillac,Château Pontet-Canet,4.3,1625,114.55,2012,Red
1622,Pinot Noir,United States,California,Bogle,3.6,1625,15.33,2016,Red
1623,Cinquanta Collezione,Italy,Vino d'Italia,San Marzano,4.3,16262,17.57,2012,Red
1624,Châteauneuf-du-Pape,France,Châteauneuf-du-Pape,Château de Beaucastel,4.4,1627,68.18,2015,Red
1625,Quorum (Grande Vindima),Brazil,Vale dos Vinhedos,Lidio Carraro,4.0,1627,45.77,2008,Red
1626,Côtes du Rhône Le Bouquet Des Garrigues,France,Côtes-du-Rhône,Clos du Caillou,3.8,163,15.9,2017,Red
1627,Nebbiolo d’alba,Italy,Piemonte,Bruno Giacosa,4.1,163,27.65,2017,Red
1628,GSM,United States,Columbia Valley,Tenet Wines,4.2,163,78.75,2014,Red
1629,Crozes-Hermitage Domaine de Thalabert,France,Crozes-Hermitage,Paul Jaboulet Aîné,3.9,163,36.74,2017,Red
1630,Gimblett Gravels Vineyard Te Kahu,New Zealand,Gimblett Gravels,Craggy Range,3.9,163,27.36,2017,Red
1631,Cannonau di Sardegna,Italy,Cannonau di Sardegna,Antichi Poderi Jerzu,3.3,163,7.9,2018,Red
1632,Margaux (Grand Cru Classé),France,Margaux,Château Malescot St. Exupery,4.2,163,94.24,2016,Red
1633,Médoc,France,Médoc,Clos Manou,3.9,163,24.9,2014,Red
1634,Côtes du Rhône,France,Côtes-du-Rhône,Y/M - Yannick Alléno & Michel Chapoutier,3.7,163,12.0,2017,Red
1635,Riserva del Conte Contea di Sclafani,Italy,Contea di Sclafani,Tasca d'Almerita,4.3,163,65.86,2010,Red
1636,Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Langoa Barton,4.2,163,68.95,2002,Red
1637,Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,Saint-Émilion Grand Cru,Château Figeac,4.5,163,286.95,2016,Red
1638,Haut-Médoc,France,Haut-Médoc,Château Ségur,3.6,163,14.95,2014,Red
1639,Pinotage (Bosstok),South Africa,Coastal Region,MAN,3.8,163,5.74,2018,Red
1640,Riebeeksrivier Western Slopes,South Africa,Swartland,Cape of Good Hope,3.9,163,13.99,2013,Red
1641,Barbaresco,Italy,Barbaresco,Enrico Serafino,3.8,163,26.18,2015,Red
1642,Saint-Émilion Grand Cru (Grand Cru Classé),France,Saint-Émilion Grand Cru,Château La Serre,4.0,163,50.69,2015,Red
1643,Lagrein Perl,Italy,Südtirol - Alto Adige,Cantina Bolzano / Kellerei Bozen,4.0,163,14.5,2018,Red
1644,Reserva Rioja,Spain,Rioja,Castillo de Albai,3.6,163,8.95,2015,Red
1645,Viña Cubillo,Spain,Rioja Alta,R. López de Heredia Viña Tondonia,3.8,1633,14.9,2009,Red
1646,Brunello di Montalcino,Italy,Brunello di Montalcino,Valdicava,4.5,1634,92.15,2010,Red
1647,Etna Rosso,Italy,Etna,Tenuta delle Terre Nere,3.9,1637,15.47,2017,Red
1648,Sassicaia,Italy,Bolgheri Sassicaia,Tenuta San Guido,4.7,1637,632.64,1999,Red
1649,Arbossar,Spain,Priorat,Terroir Al Límit Soc. Lda,4.0,164,60.0,2014,Red
1650,Castillon - Côtes de Bordeaux,France,Castillon - Côtes de Bordeaux,Château Cap de Faugères,3.7,164,29.95,2005,Red
1651,Finca Matambres,Spain,Ribera del Duero,Monteabellon,4.2,164,28.0,2015,Red
1652,La Miranda de Secastilla Garnacha Somontano,Spain,Somontano,Viñas del Vero,3.7,164,9.35,2017,Red
1653,Bosc Silvestre Tinto,Spain,Costers del Segre,Costers del Sió,3.9,164,10.9,2016,Red
1654,Saint Cosme Crozes-Hermitage,France,Crozes-Hermitage,Château de Saint Cosme,4.0,164,22.0,2017,Red
1655,Gravello Rosso,Italy,Val di Neto,Librandi,3.8,164,15.9,2016,Red
1656,El Viaje de Ramón Tempranillo Rioja,Spain,Rioja,Ramón Bilbao,3.7,164,6.75,2018,Red
1657,Chianti Classico,Italy,Chianti Classico,Fontodi,3.9,164,26.81,2017,Red
1658,Fronsac,France,Fronsac,Château Moulin Haut-Laroque,3.8,164,20.42,2006,Red
1659,Syrah - Grenache,South Africa,Walker Bay,Creation,3.8,164,17.69,2017,Red
1660,Rouge (Gaston Hochar),Lebanon,Bekaa Valley,Château Musar,4.2,1640,36.55,2000,Red
1661,Da Vinci Chianti,Italy,Chianti,Cantine Leonardo da Vinci,3.6,1647,7.02,2016,Red
1662,Earthquake Zinfandel,United States,Lodi,Michael David Winery,4.1,1649,26.22,2015,Red
1663,Mordor,Austria,Burgenland,Scheiblhofer,4.2,165,20.47,2017,Red
1664,Reserva Tinto,Portugal,Portalegre,Monte da Penha,3.9,165,13.9,2005,Red
